,vulnerable,infected,symptomatic,positive,recovered,deceased
148,0.49993375,0.000665,0.00097625,0.00126,0.4881425,0.0090225
144,0.499825,0.000635,0.00095,0.00124375,0.48832125,0.009025
142,0.49974625,0.000585,0.00093,0.00119875,0.48851,0.00903
138,0.49965375,0.00056875,0.000895,0.00114625,0.48870375,0.0090325
141,0.499555,0.00053875,0.0008475,0.00114,0.488885,0.00903375
150,0.49945875,0.00054625,0.00081,0.00108875,0.48906,0.00903625
136,0.49937875,0.00053,0.000775,0.00104625,0.48923125,0.00903875
139,0.4992825,0.00052,0.0007525,0.00100875,0.489395,0.00904125
152,0.49919875,0.00048375,0.0007425,0.00097625,0.489555,0.00904375
153,0.4991075,0.00047,0.00074,0.00095,0.48968375,0.00904875
161,0.499025,0.00045375,0.00073375,0.00090875,0.48982625,0.0090525
164,0.49894375,0.000445,0.00071375,0.00089,0.4899525,0.009055
159,0.4988525,0.00045,0.00068125,0.000865,0.4900925,0.00905875
163,0.4987625,0.0004375,0.000675,0.0008175,0.49024625,0.00906125
158,0.49868875,0.0004175,0.0006625,0.00079625,0.4903725,0.0090625
155,0.4985975,0.000425,0.0006525,0.00079,0.4904725,0.0090625
156,0.4985375,0.0004,0.00063,0.000775,0.490595,0.0090625
162,0.49847875,0.00038125,0.00059875,0.00075125,0.49072375,0.00906625
160,0.49841,0.00038625,0.0005675,0.0007225,0.49084625,0.0090675
165,0.49835125,0.00036375,0.000565,0.00070625,0.49094625,0.0090675
167,0.49828875,0.00034875,0.00056125,0.00068125,0.49105125,0.00906875
154,0.4982375,0.00034,0.00055125,0.00064625,0.4911525,0.0090725
166,0.49816625,0.00034625,0.00052875,0.00063,0.491255,0.00907375
157,0.49811875,0.00032875,0.000525,0.00060625,0.49134625,0.009075
151,0.49806,0.00033125,0.0005025,0.00060125,0.49143,0.009075
171,0.497995,0.0003175,0.000485,0.0005875,0.49153375,0.00908125
169,0.49794125,0.00030125,0.0004625,0.00057125,0.4916425,0.00908125
173,0.4979025,0.0002725,0.00043875,0.00054875,0.4917525,0.009085
172,0.4978525,0.00026875,0.00042375,0.00052875,0.49184125,0.009085
180,0.4977975,0.00026625,0.00041,0.00051,0.49192875,0.0090875
176,0.49776625,0.00024875,0.000395,0.00048625,0.492015,0.00908875
182,0.49773,0.00023125,0.00038875,0.00047375,0.49208625,0.00909
168,0.49769125,0.0002225,0.00038375,0.00045625,0.492155,0.00909125
177,0.49764125,0.0002175,0.000385,0.00044125,0.49222375,0.00909125
175,0.497585,0.0002125,0.00037,0.00042375,0.49231375,0.009095
179,0.49753875,0.00021875,0.00035375,0.00041,0.49238125,0.0090975
181,0.49750125,0.00021625,0.00034625,0.00038375,0.4924525,0.0091
178,0.49746125,0.00022125,0.0003375,0.00036875,0.49251,0.00910125
170,0.4974275,0.00021375,0.0003225,0.00036875,0.492565,0.0091025
174,0.4973825,0.00021625,0.0003075,0.00035875,0.4926325,0.0091025
196,0.49733875,0.00020875,0.00031625,0.00035,0.49268375,0.0091025
188,0.49730625,0.00020125,0.0003,0.000345,0.49274375,0.00910375
190,0.49727375,0.0002025,0.00028125,0.00033875,0.49279875,0.009105
198,0.49725625,0.00017375,0.00027125,0.00033625,0.49285625,0.00910625
197,0.4972275,0.00016625,0.00026,0.0003225,0.492915,0.00910875
186,0.49719375,0.0001725,0.0002475,0.00030625,0.49297,0.00911
192,0.49717375,0.0001575,0.0002425,0.00028875,0.49302625,0.00911125
194,0.49713625,0.0001575,0.0002325,0.00027,0.49309125,0.0091125
185,0.49712125,0.00014875,0.0002175,0.0002675,0.49313,0.009115
184,0.497085,0.00015625,0.0002075,0.00026125,0.49317375,0.00911625
191,0.49705875,0.00015,0.00019625,0.00026,0.49321875,0.00911625
187,0.4970275,0.00016,0.00018875,0.00024625,0.49326125,0.00911625
199,0.49700625,0.0001475,0.0001875,0.00023875,0.4933025,0.0091175
193,0.49698625,0.00014875,0.000185,0.00022625,0.49333625,0.0091175
183,0.4969575,0.00015125,0.000175,0.00022125,0.49337625,0.00911875
189,0.49693,0.00013875,0.00018,0.00021375,0.4934175,0.00912
